title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
Kubernetes in Production,A advanced path into MLOps & DevOps.,13056,Self-paced,HarvardX,Course Staff,Advanced,Computer Science,English,English,4–9 hours per week,8 Weeks,$49,"Kubernetes in Production for mlops & devops. Build practical, job-ready skills in monitoring, docker, kubernetes, ci/cd. Designed for advanced learners aiming for a MLOps & DevOps role.","Module 1: Foundations of Kubernetes in Production | Module 2: Core tools (monitoring, ci/cd) | Module 3: Hands-on Kubernetes in Production project | Module 4: Advanced techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/kubernetes-in-production-advanced
CI/CD Pipelines,A beginner path into MLOps & DevOps.,153871,Self-paced,DelftX,Course Staff,Introductory,Computer Science,English,English,3–10 hours per week,11 Weeks,$49,"CI/CD Pipelines for mlops & devops. Build practical, job-ready skills in ci/cd, terraform, kubernetes, monitoring. Designed for beginner learners aiming for a MLOps & DevOps role.","Module 1: Foundations of CI/CD Pipelines | Module 2: Core tools (ci/cd, monitoring) | Module 3: Hands-on CI/CD Pipelines project | Module 4: Beginner techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/ci-cd-pipelines-beginner
CI/CD Pipelines,A intermediate path into MLOps & DevOps.,80199,Self-paced,DelftX,Course Staff,Intermediate,Computer Science,English,English,3–12 hours per week,11 Weeks,Free,"CI/CD Pipelines for mlops & devops. Build practical, job-ready skills in terraform, ci/cd, docker, mlflow. Designed for intermediate learners aiming for a MLOps & DevOps role.","Module 1: Foundations of CI/CD Pipelines | Module 2: Core tools (terraform, mlflow) | Module 3: Hands-on CI/CD Pipelines project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/ci-cd-pipelines-intermediate
CI/CD Pipelines,A advanced path into MLOps & DevOps.,76024,Self-paced,DelftX,Course Staff,Advanced,Computer Science,English,English,8–10 hours per week,9 Weeks,Free (Audit),"CI/CD Pipelines for mlops & devops. Build practical, job-ready skills in kubernetes, terraform, monitoring, ci/cd. Designed for advanced learners aiming for a MLOps & DevOps role.","Module 1: Foundations of CI/CD Pipelines | Module 2: Core tools (kubernetes, ci/cd) | Module 3: Hands-on CI/CD Pipelines project | Module 4: Advanced techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/ci-cd-pipelines-advanced
Infrastructure as Code,A beginner path into MLOps & DevOps.,78361,Self-paced,MITx,Course Staff,Introductory,Computer Science,English,English,4–14 hours per week,10 Weeks,Free (Audit),"Infrastructure as Code for mlops & devops. Build practical, job-ready skills in github actions, kubernetes, monitoring, ci/cd. Designed for beginner learners aiming for a MLOps & DevOps role.","Module 1: Foundations of Infrastructure as Code | Module 2: Core tools (github actions, ci/cd) | Module 3: Hands-on Infrastructure as Code project | Module 4: Beginner techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/infrastructure-as-code-beginner
Infrastructure as Code,A intermediate path into MLOps & DevOps.,20739,Self-paced,DelftX,Course Staff,Intermediate,Computer Science,English,English,3–10 hours per week,10 Weeks,$49,"Infrastructure as Code for mlops & devops. Build practical, job-ready skills in kubernetes, mlflow, monitoring, ci/cd. Designed for intermediate learners aiming for a MLOps & DevOps role.","Module 1: Foundations of Infrastructure as Code | Module 2: Core tools (kubernetes, ci/cd) | Module 3: Hands-on Infrastructure as Code project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/infrastructure-as-code-intermediate
Infrastructure as Code,A advanced path into MLOps & DevOps.,163410,Self-paced,HarvardX,Course Staff,Advanced,Computer Science,English,English,6–11 hours per week,7 Weeks,Free,"Infrastructure as Code for mlops & devops. Build practical, job-ready skills in docker, terraform, mlflow, ci/cd. Designed for advanced learners aiming for a MLOps & DevOps role.","Module 1: Foundations of Infrastructure as Code | Module 2: Core tools (docker, ci/cd) | Module 3: Hands-on Infrastructure as Code project | Module 4: Advanced techniques and best practices | Module 5: Career path toward MLOps & DevOps",https://www.edx.org/course/infrastructure-as-code-advanced
AWS Cloud,A beginner path into Cloud.,119919,Self-paced,UBCx,Course Staff,Introductory,Computer Science,English,English,4–14 hours per week,12 Weeks,$99,"AWS Cloud for cloud. Build practical, job-ready skills in lambda, cloud architecture, gcp, networking. Designed for beginner learners aiming for a Cloud role.","Module 1: Foundations of AWS Cloud | Module 2: Core tools (lambda, networking) | Module 3: Hands-on AWS Cloud project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/aws-cloud-beginner
AWS Cloud,A intermediate path into Cloud.,27045,Self-paced,BerkeleyX,Course Staff,Intermediate,Computer Science,English,English,7–11 hours per week,12 Weeks,$49,"AWS Cloud for cloud. Build practical, job-ready skills in serverless, lambda, azure, cloud architecture. Designed for intermediate learners aiming for a Cloud role.","Module 1: Foundations of AWS Cloud | Module 2: Core tools (serverless, cloud architecture) | Module 3: Hands-on AWS Cloud project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/aws-cloud-intermediate
AWS Cloud,A advanced path into Cloud.,149000,Self-paced,IBM,Course Staff,Advanced,Computer Science,English,English,3–9 hours per week,12 Weeks,Free (Audit),"AWS Cloud for cloud. Build practical, job-ready skills in aws, cloud architecture, gcp, azure. Designed for advanced learners aiming for a Cloud role.","Module 1: Foundations of AWS Cloud | Module 2: Core tools (aws, azure) | Module 3: Hands-on AWS Cloud project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/aws-cloud-advanced
Cloud Architecture,A beginner path into Cloud.,4895,Self-paced,IBM,Course Staff,Introductory,Computer Science,English,English,4–10 hours per week,9 Weeks,Free,"Cloud Architecture for cloud. Build practical, job-ready skills in serverless, azure, lambda, gcp. Designed for beginner learners aiming for a Cloud role.","Module 1: Foundations of Cloud Architecture | Module 2: Core tools (serverless, gcp) | Module 3: Hands-on Cloud Architecture project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/cloud-architecture-beginner
Cloud Architecture,A intermediate path into Cloud.,162246,Self-paced,Microsoft,Course Staff,Intermediate,Computer Science,English,English,2–14 hours per week,12 Weeks,$49,"Cloud Architecture for cloud. Build practical, job-ready skills in azure, gcp, aws, networking. Designed for intermediate learners aiming for a Cloud role.","Module 1: Foundations of Cloud Architecture | Module 2: Core tools (azure, networking) | Module 3: Hands-on Cloud Architecture project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/cloud-architecture-intermediate
Cloud Architecture,A advanced path into Cloud.,18218,Self-paced,IBM,Course Staff,Advanced,Computer Science,English,English,3–11 hours per week,12 Weeks,$49,"Cloud Architecture for cloud. Build practical, job-ready skills in cloud architecture, lambda, aws, serverless. Designed for advanced learners aiming for a Cloud role.","Module 1: Foundations of Cloud Architecture | Module 2: Core tools (cloud architecture, serverless) | Module 3: Hands-on Cloud Architecture project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/cloud-architecture-advanced
Serverless Applications,A beginner path into Cloud.,60898,Self-paced,DelftX,Course Staff,Introductory,Computer Science,English,English,5–11 hours per week,11 Weeks,$99,"Serverless Applications for cloud. Build practical, job-ready skills in cloud architecture, serverless, lambda, gcp. Designed for beginner learners aiming for a Cloud role.","Module 1: Foundations of Serverless Applications | Module 2: Core tools (cloud architecture, gcp) | Module 3: Hands-on Serverless Applications project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/serverless-applications-beginner
Serverless Applications,A intermediate path into Cloud.,114213,Self-paced,MITx,Course Staff,Intermediate,Computer Science,English,English,2–14 hours per week,9 Weeks,Free (Audit),"Serverless Applications for cloud. Build practical, job-ready skills in cloud architecture, lambda, aws, gcp. Designed for intermediate learners aiming for a Cloud role.","Module 1: Foundations of Serverless Applications | Module 2: Core tools (cloud architecture, gcp) | Module 3: Hands-on Serverless Applications project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/serverless-applications-intermediate
Serverless Applications,A advanced path into Cloud.,41561,Self-paced,Microsoft,Course Staff,Advanced,Computer Science,English,English,7–12 hours per week,7 Weeks,Free,"Serverless Applications for cloud. Build practical, job-ready skills in serverless, aws, networking, gcp. Designed for advanced learners aiming for a Cloud role.","Module 1: Foundations of Serverless Applications | Module 2: Core tools (serverless, gcp) | Module 3: Hands-on Serverless Applications project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/serverless-applications-advanced
Azure Fundamentals,A beginner path into Cloud.,48294,Self-paced,HarvardX,Course Staff,Introductory,Computer Science,English,English,4–14 hours per week,8 Weeks,$49,"Azure Fundamentals for cloud. Build practical, job-ready skills in gcp, serverless, networking, aws. Designed for beginner learners aiming for a Cloud role.","Module 1: Foundations of Azure Fundamentals | Module 2: Core tools (gcp, aws) | Module 3: Hands-on Azure Fundamentals project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/azure-fundamentals-beginner
Azure Fundamentals,A intermediate path into Cloud.,98007,Self-paced,IBM,Course Staff,Intermediate,Computer Science,English,English,4–14 hours per week,9 Weeks,Free,"Azure Fundamentals for cloud. Build practical, job-ready skills in gcp, aws, azure, serverless. Designed for intermediate learners aiming for a Cloud role.","Module 1: Foundations of Azure Fundamentals | Module 2: Core tools (gcp, serverless) | Module 3: Hands-on Azure Fundamentals project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/azure-fundamentals-intermediate
Azure Fundamentals,A advanced path into Cloud.,91484,Self-paced,MITx,Course Staff,Advanced,Computer Science,English,English,5–9 hours per week,8 Weeks,$99,"Azure Fundamentals for cloud. Build practical, job-ready skills in aws, azure, lambda, networking. Designed for advanced learners aiming for a Cloud role.","Module 1: Foundations of Azure Fundamentals | Module 2: Core tools (aws, networking) | Module 3: Hands-on Azure Fundamentals project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/azure-fundamentals-advanced
Cloud Security,A beginner path into Cloud.,76876,Self-paced,GTx,Course Staff,Introductory,Computer Science,English,English,4–9 hours per week,4 Weeks,$99,"Cloud Security for cloud. Build practical, job-ready skills in serverless, lambda, gcp, aws. Designed for beginner learners aiming for a Cloud role.","Module 1: Foundations of Cloud Security | Module 2: Core tools (serverless, aws) | Module 3: Hands-on Cloud Security project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/cloud-security-beginner
Cloud Security,A intermediate path into Cloud.,151931,Self-paced,BerkeleyX,Course Staff,Intermediate,Computer Science,English,English,5–13 hours per week,10 Weeks,$99,"Cloud Security for cloud. Build practical, job-ready skills in lambda, cloud architecture, azure, serverless. Designed for intermediate learners aiming for a Cloud role.","Module 1: Foundations of Cloud Security | Module 2: Core tools (lambda, serverless) | Module 3: Hands-on Cloud Security project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/cloud-security-intermediate
Cloud Security,A advanced path into Cloud.,138353,Self-paced,UBCx,Course Staff,Advanced,Computer Science,English,English,2–12 hours per week,8 Weeks,$49,"Cloud Security for cloud. Build practical, job-ready skills in gcp, aws, cloud architecture, lambda. Designed for advanced learners aiming for a Cloud role.","Module 1: Foundations of Cloud Security | Module 2: Core tools (gcp, lambda) | Module 3: Hands-on Cloud Security project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Cloud",https://www.edx.org/course/cloud-security-advanced
Product Management,A beginner path into Product & Project Management.,46481,Self-paced,Microsoft,Course Staff,Introductory,Business & Management,English,English,6–10 hours per week,5 Weeks,Free (Audit),"Product Management for product & project management. Build practical, job-ready skills in stakeholder management, agile, prioritization, roadmap. Designed for beginner learners aiming for a Product & Project Management role.","Module 1: Foundations of Product Management | Module 2: Core tools (stakeholder management, roadmap) | Module 3: Hands-on Product Management project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/product-management-beginner
Product Management,A intermediate path into Product & Project Management.,73004,Self-paced,GTx,Course Staff,Intermediate,Business & Management,English,English,6–9 hours per week,9 Weeks,Free,"Product Management for product & project management. Build practical, job-ready skills in prioritization, metrics, scrum, product strategy. Designed for intermediate learners aiming for a Product & Project Management role.","Module 1: Foundations of Product Management | Module 2: Core tools (prioritization, product strategy) | Module 3: Hands-on Product Management project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/product-management-intermediate
Product Management,A advanced path into Product & Project Management.,118894,Self-paced,HarvardX,Course Staff,Advanced,Business & Management,English,English,8–13 hours per week,7 Weeks,$49,"Product Management for product & project management. Build practical, job-ready skills in agile, scrum, metrics, roadmap. Designed for advanced learners aiming for a Product & Project Management role.","Module 1: Foundations of Product Management | Module 2: Core tools (agile, roadmap) | Module 3: Hands-on Product Management project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/product-management-advanced
Project Management,A beginner path into Product & Project Management.,138381,Self-paced,DelftX,Course Staff,Introductory,Business & Management,English,English,6–13 hours per week,6 Weeks,$49,"Project Management for product & project management. Build practical, job-ready skills in product strategy, scrum, prioritization, stakeholder management. Designed for beginner learners aiming for a Product & Project Management role.","Module 1: Foundations of Project Management | Module 2: Core tools (product strategy, stakeholder management) | Module 3: Hands-on Project Management project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/project-management-beginner
Project Management,A intermediate path into Product & Project Management.,190722,Self-paced,GTx,Course Staff,Intermediate,Business & Management,English,English,8–14 hours per week,6 Weeks,$49,"Project Management for product & project management. Build practical, job-ready skills in agile, prioritization, scrum, product strategy. Designed for intermediate learners aiming for a Product & Project Management role.","Module 1: Foundations of Project Management | Module 2: Core tools (agile, product strategy) | Module 3: Hands-on Project Management project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/project-management-intermediate
Project Management,A advanced path into Product & Project Management.,176666,Self-paced,IBM,Course Staff,Advanced,Business & Management,English,English,7–14 hours per week,12 Weeks,Free,"Project Management for product & project management. Build practical, job-ready skills in roadmap, product strategy, stakeholder management, agile. Designed for advanced learners aiming for a Product & Project Management role.","Module 1: Foundations of Project Management | Module 2: Core tools (roadmap, agile) | Module 3: Hands-on Project Management project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/project-management-advanced
Agile & Scrum,A beginner path into Product & Project Management.,78540,Self-paced,MITx,Course Staff,Introductory,Business & Management,English,English,8–9 hours per week,12 Weeks,Free,"Agile & Scrum for product & project management. Build practical, job-ready skills in metrics, prioritization, scrum, agile. Designed for beginner learners aiming for a Product & Project Management role.","Module 1: Foundations of Agile & Scrum | Module 2: Core tools (metrics, agile) | Module 3: Hands-on Agile & Scrum project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/agile---scrum-beginner
Agile & Scrum,A intermediate path into Product & Project Management.,161063,Self-paced,DelftX,Course Staff,Intermediate,Business & Management,English,English,4–14 hours per week,11 Weeks,Free (Audit),"Agile & Scrum for product & project management. Build practical, job-ready skills in metrics, agile, product strategy, stakeholder management. Designed for intermediate learners aiming for a Product & Project Management role.","Module 1: Foundations of Agile & Scrum | Module 2: Core tools (metrics, stakeholder management) | Module 3: Hands-on Agile & Scrum project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/agile---scrum-intermediate
Agile & Scrum,A advanced path into Product & Project Management.,159508,Self-paced,Microsoft,Course Staff,Advanced,Business & Management,English,English,3–11 hours per week,4 Weeks,$99,"Agile & Scrum for product & project management. Build practical, job-ready skills in product strategy, stakeholder management, agile, scrum. Designed for advanced learners aiming for a Product & Project Management role.","Module 1: Foundations of Agile & Scrum | Module 2: Core tools (product strategy, scrum) | Module 3: Hands-on Agile & Scrum project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/agile---scrum-advanced
Product Strategy,A beginner path into Product & Project Management.,119260,Self-paced,Microsoft,Course Staff,Introductory,Business & Management,English,English,4–9 hours per week,10 Weeks,Free,"Product Strategy for product & project management. Build practical, job-ready skills in prioritization, agile, product strategy, roadmap. Designed for beginner learners aiming for a Product & Project Management role.","Module 1: Foundations of Product Strategy | Module 2: Core tools (prioritization, roadmap) | Module 3: Hands-on Product Strategy project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/product-strategy-beginner
Product Strategy,A intermediate path into Product & Project Management.,124851,Self-paced,GTx,Course Staff,Intermediate,Business & Management,English,English,7–10 hours per week,11 Weeks,$99,"Product Strategy for product & project management. Build practical, job-ready skills in scrum, product strategy, agile, stakeholder management. Designed for intermediate learners aiming for a Product & Project Management role.","Module 1: Foundations of Product Strategy | Module 2: Core tools (scrum, stakeholder management) | Module 3: Hands-on Product Strategy project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/product-strategy-intermediate
Product Strategy,A advanced path into Product & Project Management.,168497,Self-paced,UBCx,Course Staff,Advanced,Business & Management,English,English,8–13 hours per week,11 Weeks,Free,"Product Strategy for product & project management. Build practical, job-ready skills in product strategy, roadmap, metrics, prioritization. Designed for advanced learners aiming for a Product & Project Management role.","Module 1: Foundations of Product Strategy | Module 2: Core tools (product strategy, prioritization) | Module 3: Hands-on Product Strategy project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/product-strategy-advanced
Roadmapping,A beginner path into Product & Project Management.,175160,Self-paced,IBM,Course Staff,Introductory,Business & Management,English,English,7–9 hours per week,12 Weeks,$49,"Roadmapping for product & project management. Build practical, job-ready skills in roadmap, scrum, product strategy, prioritization. Designed for beginner learners aiming for a Product & Project Management role.","Module 1: Foundations of Roadmapping | Module 2: Core tools (roadmap, prioritization) | Module 3: Hands-on Roadmapping project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/roadmapping-beginner
Roadmapping,A intermediate path into Product & Project Management.,193136,Self-paced,Microsoft,Course Staff,Intermediate,Business & Management,English,English,7–14 hours per week,5 Weeks,$49,"Roadmapping for product & project management. Build practical, job-ready skills in roadmap, product strategy, metrics, prioritization. Designed for intermediate learners aiming for a Product & Project Management role.","Module 1: Foundations of Roadmapping | Module 2: Core tools (roadmap, prioritization) | Module 3: Hands-on Roadmapping project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/roadmapping-intermediate
Roadmapping,A advanced path into Product & Project Management.,77924,Self-paced,HarvardX,Course Staff,Advanced,Business & Management,English,English,3–9 hours per week,7 Weeks,Free,"Roadmapping for product & project management. Build practical, job-ready skills in stakeholder management, roadmap, agile, product strategy. Designed for advanced learners aiming for a Product & Project Management role.","Module 1: Foundations of Roadmapping | Module 2: Core tools (stakeholder management, product strategy) | Module 3: Hands-on Roadmapping project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Product & Project Management",https://www.edx.org/course/roadmapping-advanced
Test Automation,A beginner path into QA & Test Automation.,97474,Self-paced,MITx,Course Staff,Introductory,Computer Science,English,English,5–12 hours per week,11 Weeks,$99,"Test Automation for qa & test automation. Build practical, job-ready skills in test automation, playwright, qa, pytest. Designed for beginner learners aiming for a QA & Test Automation role.","Module 1: Foundations of Test Automation | Module 2: Core tools (test automation, pytest) | Module 3: Hands-on Test Automation project | Module 4: Beginner techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/test-automation-beginner
Test Automation,A intermediate path into QA & Test Automation.,85203,Self-paced,GTx,Course Staff,Intermediate,Computer Science,English,English,2–9 hours per week,9 Weeks,$49,"Test Automation for qa & test automation. Build practical, job-ready skills in test automation, cypress, pytest, qa. Designed for intermediate learners aiming for a QA & Test Automation role.","Module 1: Foundations of Test Automation | Module 2: Core tools (test automation, qa) | Module 3: Hands-on Test Automation project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/test-automation-intermediate
Test Automation,A advanced path into QA & Test Automation.,20671,Self-paced,HarvardX,Course Staff,Advanced,Computer Science,English,English,7–14 hours per week,10 Weeks,$49,"Test Automation for qa & test automation. Build practical, job-ready skills in test automation, pytest, qa, test planning. Designed for advanced learners aiming for a QA & Test Automation role.","Module 1: Foundations of Test Automation | Module 2: Core tools (test automation, test planning) | Module 3: Hands-on Test Automation project | Module 4: Advanced techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/test-automation-advanced
QA Engineering,A beginner path into QA & Test Automation.,101362,Self-paced,BerkeleyX,Course Staff,Introductory,Computer Science,English,English,6–9 hours per week,6 Weeks,$99,"QA Engineering for qa & test automation. Build practical, job-ready skills in qa, test planning, cypress, selenium. Designed for beginner learners aiming for a QA & Test Automation role.","Module 1: Foundations of QA Engineering | Module 2: Core tools (qa, selenium) | Module 3: Hands-on QA Engineering project | Module 4: Beginner techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/qa-engineering-beginner
QA Engineering,A intermediate path into QA & Test Automation.,136723,Self-paced,DelftX,Course Staff,Intermediate,Computer Science,English,English,5–13 hours per week,5 Weeks,$49,"QA Engineering for qa & test automation. Build practical, job-ready skills in test automation, playwright, pytest, selenium. Designed for intermediate learners aiming for a QA & Test Automation role.","Module 1: Foundations of QA Engineering | Module 2: Core tools (test automation, selenium) | Module 3: Hands-on QA Engineering project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/qa-engineering-intermediate
QA Engineering,A advanced path into QA & Test Automation.,24013,Self-paced,DelftX,Course Staff,Advanced,Computer Science,English,English,8–14 hours per week,9 Weeks,$49,"QA Engineering for qa & test automation. Build practical, job-ready skills in playwright, test automation, pytest, cypress. Designed for advanced learners aiming for a QA & Test Automation role.","Module 1: Foundations of QA Engineering | Module 2: Core tools (playwright, cypress) | Module 3: Hands-on QA Engineering project | Module 4: Advanced techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/qa-engineering-advanced
Selenium WebDriver,A beginner path into QA & Test Automation.,130504,Self-paced,Microsoft,Course Staff,Introductory,Computer Science,English,English,2–11 hours per week,12 Weeks,$49,"Selenium WebDriver for qa & test automation. Build practical, job-ready skills in test planning, selenium, qa, test automation. Designed for beginner learners aiming for a QA & Test Automation role.","Module 1: Foundations of Selenium WebDriver | Module 2: Core tools (test planning, test automation) | Module 3: Hands-on Selenium WebDriver project | Module 4: Beginner techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/selenium-webdriver-beginner
Selenium WebDriver,A intermediate path into QA & Test Automation.,169385,Self-paced,BerkeleyX,Course Staff,Intermediate,Computer Science,English,English,2–12 hours per week,11 Weeks,$49,"Selenium WebDriver for qa & test automation. Build practical, job-ready skills in pytest, qa, cypress, selenium. Designed for intermediate learners aiming for a QA & Test Automation role.","Module 1: Foundations of Selenium WebDriver | Module 2: Core tools (pytest, selenium) | Module 3: Hands-on Selenium WebDriver project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/selenium-webdriver-intermediate
Selenium WebDriver,A advanced path into QA & Test Automation.,91707,Self-paced,Microsoft,Course Staff,Advanced,Computer Science,English,English,6–11 hours per week,5 Weeks,$49,"Selenium WebDriver for qa & test automation. Build practical, job-ready skills in cypress, qa, test planning, playwright. Designed for advanced learners aiming for a QA & Test Automation role.","Module 1: Foundations of Selenium WebDriver | Module 2: Core tools (cypress, playwright) | Module 3: Hands-on Selenium WebDriver project | Module 4: Advanced techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/selenium-webdriver-advanced
API Testing,A beginner path into QA & Test Automation.,173682,Self-paced,IBM,Course Staff,Introductory,Computer Science,English,English,6–14 hours per week,9 Weeks,Free,"API Testing for qa & test automation. Build practical, job-ready skills in cypress, test planning, qa, test automation. Designed for beginner learners aiming for a QA & Test Automation role.","Module 1: Foundations of API Testing | Module 2: Core tools (cypress, test automation) | Module 3: Hands-on API Testing project | Module 4: Beginner techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/api-testing-beginner
API Testing,A intermediate path into QA & Test Automation.,169272,Self-paced,GTx,Course Staff,Intermediate,Computer Science,English,English,4–12 hours per week,7 Weeks,$99,"API Testing for qa & test automation. Build practical, job-ready skills in playwright, selenium, test planning, qa. Designed for intermediate learners aiming for a QA & Test Automation role.","Module 1: Foundations of API Testing | Module 2: Core tools (playwright, qa) | Module 3: Hands-on API Testing project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/api-testing-intermediate
API Testing,A advanced path into QA & Test Automation.,105521,Self-paced,BerkeleyX,Course Staff,Advanced,Computer Science,English,English,3–11 hours per week,12 Weeks,Free,"API Testing for qa & test automation. Build practical, job-ready skills in test automation, pytest, selenium, qa. Designed for advanced learners aiming for a QA & Test Automation role.","Module 1: Foundations of API Testing | Module 2: Core tools (test automation, qa) | Module 3: Hands-on API Testing project | Module 4: Advanced techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/api-testing-advanced
End-to-End Testing,A beginner path into QA & Test Automation.,86835,Self-paced,IBM,Course Staff,Introductory,Computer Science,English,English,6–14 hours per week,9 Weeks,Free (Audit),"End-to-End Testing for qa & test automation. Build practical, job-ready skills in test automation, cypress, pytest, selenium. Designed for beginner learners aiming for a QA & Test Automation role.","Module 1: Foundations of End-to-End Testing | Module 2: Core tools (test automation, selenium) | Module 3: Hands-on End-to-End Testing project | Module 4: Beginner techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/end-to-end-testing-beginner
End-to-End Testing,A intermediate path into QA & Test Automation.,14248,Self-paced,HarvardX,Course Staff,Intermediate,Computer Science,English,English,4–12 hours per week,11 Weeks,$49,"End-to-End Testing for qa & test automation. Build practical, job-ready skills in playwright, cypress, pytest, qa. Designed for intermediate learners aiming for a QA & Test Automation role.","Module 1: Foundations of End-to-End Testing | Module 2: Core tools (playwright, qa) | Module 3: Hands-on End-to-End Testing project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/end-to-end-testing-intermediate
End-to-End Testing,A advanced path into QA & Test Automation.,146024,Self-paced,BerkeleyX,Course Staff,Advanced,Computer Science,English,English,4–9 hours per week,10 Weeks,$99,"End-to-End Testing for qa & test automation. Build practical, job-ready skills in qa, selenium, test planning, pytest. Designed for advanced learners aiming for a QA & Test Automation role.","Module 1: Foundations of End-to-End Testing | Module 2: Core tools (qa, pytest) | Module 3: Hands-on End-to-End Testing project | Module 4: Advanced techniques and best practices | Module 5: Career path toward QA & Test Automation",https://www.edx.org/course/end-to-end-testing-advanced
Web Development,A beginner path into Web Development.,12876,Self-paced,HarvardX,Course Staff,Introductory,Computer Science,English,English,2–10 hours per week,9 Weeks,$99,"Web Development for web development. Build practical, job-ready skills in rest api, css, typescript, react. Designed for beginner learners aiming for a Web Development role.","Module 1: Foundations of Web Development | Module 2: Core tools (rest api, react) | Module 3: Hands-on Web Development project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Web Development",https://www.edx.org/course/web-development-beginner
